iter	Passed	Remaining
0	1	189
1	3	184
2	5	171
3	6	155
4	8	155
5	10	157
6	11	154
7	13	153
8	15	155
9	16	151
10	18	153
11	20	151
12	21	147
13	23	144
14	25	141
15	26	139
16	28	137
17	29	134
18	30	131
19	32	129
20	34	128
21	35	127
22	37	124
23	38	123
24	41	123
25	42	121
26	44	119
27	45	117
28	47	115
29	48	113
30	50	112
31	52	110
32	53	109
33	56	110
34	58	109
35	60	107
36	62	105
37	63	104
38	65	102
39	66	100
40	68	98
41	69	95
42	70	93
43	72	91
44	73	90
45	75	88
46	76	86
47	78	84
48	79	82
49	80	80
50	82	78
51	84	77
52	86	76
53	87	74
54	88	72
55	89	70
56	90	68
57	91	66
58	93	64
59	94	62
60	95	61
61	97	59
62	98	57
63	99	56
64	101	54
65	102	52
66	104	51
67	105	49
68	106	48
69	108	46
70	109	44
71	110	43
72	111	41
73	113	40
74	115	38
75	117	36
76	118	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	125	25
83	128	24
84	130	23
85	133	21
86	135	20
87	137	18
88	138	17
89	140	15
90	142	14
91	144	12
92	146	11
93	147	9
94	149	7
95	151	6
96	153	4
97	155	3
98	156	1
99	158	0
