iter	Passed	Remaining
0	143	143465
1	146	73336
2	149	49694
3	152	37913
4	154	30830
5	157	26046
6	160	22749
7	162	20157
8	164	18127
9	167	16556
10	169	15236
11	171	14106
12	173	13141
13	175	12335
14	177	11624
15	179	11051
16	181	10495
17	183	10000
18	185	9561
19	187	9169
20	188	8804
21	190	8471
22	193	8199
23	195	7933
24	196	7666
25	198	7432
26	199	7198
27	201	6994
28	202	6791
29	204	6610
30	206	6457
31	209	6325
32	210	6158
33	211	6022
34	213	5883
35	214	5754
36	216	5632
37	217	5511
38	219	5401
39	221	5319
40	223	5219
41	224	5117
42	225	5028
43	227	4934
44	228	4847
45	229	4764
46	231	4684
47	232	4611
48	235	4574
49	238	4531
50	240	4473
51	241	4411
52	243	4347
53	244	4281
54	245	4221
55	247	4170
56	249	4129
57	250	4074
58	251	4018
59	253	3968
60	254	3923
61	256	3877
62	257	3826
63	258	3782
64	260	3750
65	263	3734
66	265	3701
67	267	3659
68	268	3616
69	269	3577
70	270	3539
71	271	3499
72	272	3463
73	273	3427
74	274	3390
75	276	3363
76	277	3327
77	278	3292
78	279	3260
79	280	3225
80	281	3194
81	282	3161
82	282	3126
83	283	3096
84	284	3066
85	285	3037
86	286	3007
87	287	2981
88	288	2957
89	289	2931
90	291	2914
91	292	2890
92	293	2864
93	294	2840
94	295	2816
95	296	2793
96	297	2770
97	298	2746
98	299	2724
99	300	2703
100	301	2681
101	302	2659
102	303	2638
103	303	2618
104	304	2598
105	305	2578
106	307	2565
107	308	2546
108	309	2527
109	310	2509
110	311	2491
111	312	2473
112	312	2455
113	313	2437
114	314	2420
115	315	2403
116	316	2388
117	317	2373
118	318	2356
119	319	2341
120	320	2326
121	321	2310
122	322	2300
123	323	2287
124	324	2274
125	325	2261
126	326	2246
127	327	2233
128	328	2220
129	329	2207
130	330	2195
131	331	2182
132	332	2169
133	333	2157
134	334	2144
135	335	2132
136	336	2120
137	338	2113
138	339	2102
139	340	2090
140	341	2078
141	341	2065
142	342	2053
143	344	2045
144	345	2035
145	346	2025
146	347	2015
147	348	2004
148	349	1994
149	350	1984
150	351	1974
151	352	1963
152	353	1956
153	354	1946
154	355	1936
155	356	1926
156	356	1916
157	357	1907
158	358	1897
159	359	1888
160	360	1877
161	361	1868
162	362	1859
163	363	1851
164	364	1842
165	365	1834
166	366	1826
167	367	1817
168	368	1812
169	369	1804
170	370	1795
171	371	1787
172	372	1780
173	373	1772
174	374	1764
175	375	1757
176	376	1750
177	377	1742
178	378	1735
179	379	1728
180	380	1720
181	381	1713
182	381	1705
183	383	1699
184	384	1694
185	385	1687
186	386	1679
187	387	1672
188	388	1666
189	389	1659
190	390	1652
191	391	1647
192	392	1641
193	393	1634
194	394	1628
195	395	1623
196	396	1616
197	397	1610
198	399	1607
199	400	1601
200	401	1594
201	402	1588
202	403	1582
203	404	1577
204	405	1571
205	406	1565
206	407	1559
207	407	1552
208	408	1546
209	409	1540
210	410	1534
211	411	1529
212	412	1523
213	413	1517
214	414	1513
215	415	1508
216	416	1503
217	417	1497
218	418	1491
219	419	1486
220	420	1480
221	420	1474
222	421	1469
223	422	1463
224	423	1458
225	424	1453
226	425	1448
227	426	1443
228	427	1438
229	428	1433
230	429	1429
231	430	1426
232	432	1423
233	433	1419
234	434	1415
235	435	1410
236	436	1405
237	437	1400
238	438	1396
239	439	1391
240	440	1386
241	441	1381
242	442	1377
243	443	1373
244	444	1368
245	445	1365
246	446	1361
247	447	1358
248	448	1353
249	449	1349
250	450	1344
251	451	1341
252	452	1336
253	453	1332
254	454	1328
255	455	1323
256	456	1319
257	457	1314
258	458	1310
259	458	1306
260	460	1303
261	461	1299
262	462	1295
263	463	1291
264	464	1287
265	464	1282
266	465	1279
267	466	1275
268	467	1271
269	468	1267
270	469	1263
271	470	1259
272	471	1255
273	472	1251
274	473	1247
275	473	1243
276	475	1242
277	476	1238
278	477	1235
279	479	1231
280	480	1228
281	480	1224
282	481	1220
283	482	1216
284	483	1213
285	484	1209
286	485	1205
287	486	1202
288	487	1198
289	488	1195
290	488	1191
291	489	1187
292	491	1185
293	492	1181
294	493	1178
295	493	1174
296	494	1171
297	495	1168
298	496	1164
299	497	1161
300	498	1157
301	499	1154
302	500	1150
303	501	1147
304	502	1144
305	502	1140
306	503	1137
307	504	1134
308	505	1131
309	507	1129
310	508	1126
311	509	1124
312	511	1122
313	512	1119
314	513	1116
315	514	1113
316	515	1111
317	516	1108
318	518	1106
319	519	1104
320	520	1101
